ssd,subject,violation,study
150.0,2009,-148.16666666666666,Deadline1300ms
200.0,2009,69.33333333333333,Deadline1300ms
0.0,2010,26.5,Deadline1300ms
50.0,2010,,Deadline1300ms
100.0,2010,,Deadline1300ms
150.0,2010,,Deadline1300ms
200.0,2010,,Deadline1300ms
0.0,2011,-8.0,Deadline1300ms
50.0,2011,1.8333333333333333,Deadline1300ms
100.0,2011,-0.5333333333333333,Deadline1300ms
150.0,2011,20.75,Deadline1300ms
200.0,2011,-55.0,Deadline1300ms
0.0,2013,-20.5,Deadline1300ms
50.0,2013,2.4285714285714284,Deadline1300ms
100.0,2013,-16.142857142857142,Deadline1300ms
150.0,2013,-35.666666666666664,Deadline1300ms
200.0,2013,,Deadline1300ms
0.0,2014,-4.0,Deadline1300ms
50.0,2014,89.33333333333331,Deadline1300ms
100.0,2014,-22.75,Deadline1300ms
150.0,2014,,Deadline1300ms
200.0,2014,,Deadline1300ms
0.0,2016,-47.0,Deadline1300ms
50.0,2016,18.6,Deadline1300ms
100.0,2016,,Deadline1300ms
150.0,2016,,Deadline1300ms
200.0,2016,,Deadline1300ms
0.0,2017,20.0,Deadline1300ms
50.0,2017,36.42857142857143,Deadline1300ms
100.0,2017,-19.545454545454547,Deadline1300ms
150.0,2017,-33.27272727272727,Deadline1300ms
200.0,2017,-32.0,Deadline1300ms
0.0,2018,55.33333333333334,Deadline1300ms
50.0,2018,-9.125,Deadline1300ms
100.0,2018,-29.75,Deadline1300ms
150.0,2018,-40.615384615384606,Deadline1300ms
200.0,2018,-78.0,Deadline1300ms
0.0,2020,5.111111111111111,Deadline1300ms
50.0,2020,21.066666666666666,Deadline1300ms
100.0,2020,-41.833333333333336,Deadline1300ms
150.0,2020,-10.8,Deadline1300ms
200.0,2020,,Deadline1300ms
0.0,2021,-44.0,Deadline1300ms
50.0,2021,-39.833333333333336,Deadline1300ms
100.0,2021,32.0,Deadline1300ms
150.0,2021,-57.33333333333334,Deadline1300ms
200.0,2021,1.3333333333333333,Deadline1300ms
0.0,2023,52.28571428571429,Deadline1300ms
50.0,2023,10.6,Deadline1300ms
100.0,2023,,Deadline1300ms
150.0,2023,39.66666666666666,Deadline1300ms
200.0,2023,,Deadline1300ms
0.0,2024,-19.666666666666668,Deadline1300ms
50.0,2024,-17.2,Deadline1300ms
100.0,2024,34.0,Deadline1300ms
150.0,2024,,Deadline1300ms
200.0,2024,,Deadline1300ms
0.0,2025,-53.5,Deadline1300ms
50.0,2025,52.2,Deadline1300ms
100.0,2025,-30.33333333333333,Deadline1300ms
150.0,2025,-184.0,Deadline1300ms
200.0,2025,-165.5,Deadline1300ms
0.0,2028,-4.6,Deadline1300ms
50.0,2028,-19.90909090909091,Deadline1300ms
100.0,2028,-0.4166666666666667,Deadline1300ms
150.0,2028,-47.63636363636363,Deadline1300ms
200.0,2028,-45.0,Deadline1300ms
0.0,2030,-57.555555555555564,Deadline1300ms
50.0,2030,15.714285714285715,Deadline1300ms
100.0,2030,-24.75,Deadline1300ms
150.0,2030,-76.0,Deadline1300ms
200.0,2030,-64.0,Deadline1300ms
0.0,2032,-62.22222222222222,Deadline1300ms
50.0,2032,-48.66666666666666,Deadline1300ms
100.0,2032,-1.375,Deadline1300ms
150.0,2032,-42.4,Deadline1300ms
200.0,2032,-59.0,Deadline1300ms
0.0,2035,38.16666666666666,Deadline1300ms
50.0,2035,66.14285714285714,Deadline1300ms
100.0,2035,-10.545454545454543,Deadline1300ms
150.0,2035,25.66666666666667,Deadline1300ms
200.0,2035,78.9090909090909,Deadline1300ms
0.0,2001,39.77777777777778,Deadline1500ms
50.0,2001,21.1,Deadline1500ms
100.0,2001,-10.125,Deadline1500ms
150.0,2001,5.666666666666668,Deadline1500ms
200.0,2001,-3.0,Deadline1500ms
250.0,2001,,Deadline1500ms
300.0,2001,,Deadline1500ms
0.0,2002,,Deadline1500ms
50.0,2002,,Deadline1500ms
100.0,2002,-73.0,Deadline1500ms
150.0,2002,-27.0,Deadline1500ms
200.0,2002,-0.5882352941176471,Deadline1500ms
250.0,2002,32.0,Deadline1500ms
300.0,2002,,Deadline1500ms
0.0,2003,-32.666666666666664,Deadline1500ms
50.0,2003,-10.0,Deadline1500ms
100.0,2003,6.4,Deadline1500ms
150.0,2003,30.5,Deadline1500ms
200.0,2003,-0.6666666666666666,Deadline1500ms
250.0,2003,-91.0,Deadline1500ms
300.0,2003,,Deadline1500ms
0.0,2004,,Deadline1500ms
50.0,2004,,Deadline1500ms
100.0,2004,,Deadline1500ms
150.0,2004,-144.0,Deadline1500ms
200.0,2004,-126.6,Deadline1500ms
250.0,2004,-118.25,Deadline1500ms
300.0,2004,-101.2,Deadline1500ms
0.0,2005,,Deadline1500ms
50.0,2005,,Deadline1500ms
100.0,2005,93.0,Deadline1500ms
150.0,2005,37.0,Deadline1500ms
200.0,2005,-13.947368421052632,Deadline1500ms
250.0,2005,-35.68421052631579,Deadline1500ms
300.0,2005,-54.5,Deadline1500ms
0.0,2006,,Deadline1500ms
50.0,2006,,Deadline1500ms
100.0,2006,,Deadline1500ms
150.0,2006,-5.75,Deadline1500ms
200.0,2006,-67.55555555555556,Deadline1500ms
250.0,2006,-64.125,Deadline1500ms
300.0,2006,-57.66666666666666,Deadline1500ms
0.0,2008,,Deadline1500ms
50.0,2008,26.5,Deadline1500ms
100.0,2008,17.666666666666668,Deadline1500ms
150.0,2008,14.857142857142858,Deadline1500ms
200.0,2008,-39.833333333333336,Deadline1500ms
250.0,2008,-9.125,Deadline1500ms
300.0,2008,-104.0,Deadline1500ms
0.0,2009,,Deadline1500ms
50.0,2009,94.0,Deadline1500ms
100.0,2009,-103.1818181818182,Deadline1500ms
150.0,2009,-2.4285714285714284,Deadline1500ms
200.0,2009,-29.66666666666667,Deadline1500ms
250.0,2009,-419.5,Deadline1500ms
300.0,2009,,Deadline1500ms
0.0,2010,-124.0,Deadline1500ms
50.0,2010,,Deadline1500ms
100.0,2010,138.5,Deadline1500ms
150.0,2010,,Deadline1500ms
200.0,2010,,Deadline1500ms
250.0,2010,,Deadline1500ms
300.0,2010,,Deadline1500ms
0.0,2011,,Deadline1500ms
50.0,2011,81.0,Deadline1500ms
100.0,2011,-58.2,Deadline1500ms
150.0,2011,-84.0,Deadline1500ms
200.0,2011,-41.86666666666667,Deadline1500ms
